Client_ID,Nom_Client,Date_naissance,Nationalité,Adresse,Numéro_Identité,Profession,Score_Risque,Statut_KYC
1,Omar,8/27/1994,France,Room 1456,ca0b922a-bdd9-4912-a6bf-33a14296a482,Quality Engineer,4-May,en attente
2,Zainab,4/6/1983,France,Apt 486,f5a9082e-b8d9-4701-873f-767e7a7d2281,Technical Writer,2-May,Rejeté
3,Fatima,12/30/1974,France,16th Floor,db24dadd-6f8a-4075-97a3-a67738e01849,Recruiter,2-May,en attente
4,Ali,7/5/2003,France,Apt 220,d743e654-99bb-4433-9946-2e359dd8a98f,Software Test Engineer II,2-May,Rejeté
5,Fatima,3/11/1978,France,PO Box 45400,8feeab95-1a96-4a69-8460-5de8be6d0346,Food Chemist,2-May,en attente
6,Abdullah,3/28/1995,France,Suite 89,e7f7f582-caf8-4a51-bbdd-924b917ed368,Media Manager I,1-May,en attente
7,Abdullah,11/22/1981,France,Suite 80,c9606f21-605c-4011-a9c4-fb57ca80e444,Sales Representative,3-May,en attente
8,Youssef,6/11/1973,France,Room 717,e53cf6dd-5d45-47a7-bd54-d2e1a6f28e26,Assistant Professor,3-May,Rejeté
9,Fatima,7/5/1990,France,Suite 37,d195b1b8-5b08-47fb-b215-e265a8fbb304,Financial Advisor,2-May,en attente
10,Zainab,11/7/1982,France,Apt 1616,86caa191-05aa-4aeb-b69d-7b9e1bc00460,Accountant I,2-May,Validé
11,Youssef,4/28/2003,France,Room 1700,812a1e87-e4c2-489c-bc0f-7ea453a1985c,VP Sales,4-May,en attente
12,Youssef,4/2/1979,France,Apt 1002,60f29cd0-6657-4d25-8cfc-470797ca9ebf,Clinical Specialist,1-May,Validé
13,Ali,7/31/1982,France,PO Box 60386,d8d4a670-da70-45d7-a28b-3846597ee481,Mechanical Systems Engineer,4-May,en attente
14,Zainab,4/19/1996,South Africa,Apt 642,9cfcf510-5fa8-4a06-853d-6294440be9e2,VP Accounting,5-May,en attente
15,Ali,5/24/1987,France,Suite 12,cc819528-279c-4133-9709-d265c8d5e6bc,GIS Technical Architect,2-May,Rejeté
16,Omar,2/25/1986,France,PO Box 4471,66f35a53-9915-4b9f-8a44-0c6d3b6919e3,Business Systems Development Analyst,1-May,en attente
17,Nour,8/25/1992,Micronesia,Apt 1300,65287157-cab2-4642-9eba-5c2aabcfbccf,Director of Sales,4-May,en attente
18,Layla,3/16/1972,Morocco,Suite 99,2e5e122a-c651-4b9f-81dd-6d6d9b688bd2,Analog Circuit Design manager,1-May,en attente
19,Zainab,4/23/1984,France,PO Box 61139,cc083b42-b90d-42c3-b33e-a75dcb98b23b,Quality Control Specialist,5-May,Validé
20,Fatima,7/13/1980,Morocco,Apt 536,5f85b041-77fe-405e-9412-340ff320a1c3,Web Developer I,4-May,Validé
21,Ali,10/3/1993,France,Apt 38,a25050f6-bb91-41ad-a54a-ea10c57abe48,Geological Engineer,3-May,Rejeté
22,Youssef,6/7/1992,France,Suite 87,8f99e98e-fdd1-40a2-9da1-04aac07fc7b7,Community Outreach Specialist,3-May,en attente
23,Ali,3/1/1997,France,Suite 56,5ce711e2-6a27-4c4f-8324-3dc603696807,Data Coordinator,2-May,Validé
24,Omar,11/20/2005,France,10th Floor,74ecec4d-c78c-4f6f-8b85-9fc449018b8b,Staff Accountant III,5-May,Rejeté
25,Omar,3/3/1971,France,Room 1039,5556c7d0-c399-48a3-a6e6-78c33ed19f03,Desktop Support Technician,4-May,Validé
26,Zainab,1/24/1991,South Africa,13th Floor,8bb810cb-b5ab-46da-9d1a-7427213533d0,Electrical Engineer,5-May,Rejeté
27,Zainab,5/22/1974,France,Apt 339,2dd18255-a4b3-4085-8dbc-19199a5b824c,Office Assistant I,3-May,Validé
28,Youssef,9/16/1980,France,7th Floor,4607f2e2-247f-47a6-9ef0-aefe26ff593d,Programmer Analyst I,1-May,Rejeté
29,Ali,6/24/1975,France,Apt 1014,2c399dd5-807c-42e9-970c-ca9b19c9971d,Software Engineer IV,4-May,Rejeté
30,Fatima,12/27/2003,France,Room 1559,2538535c-8c80-4a99-a734-5eb0f91530a6,Health Coach III,5-May,Rejeté
31,Abdullah,1/28/1990,South Africa,Suite 86,3ee51fa8-fd24-45a2-a851-6b8da9145a53,Account Executive,5-May,Validé
32,Youssef,2/9/1996,France,PO Box 56135,a167f41b-7f18-485d-b4bd-13f4b27f828c,Director of Sales,1-May,Rejeté
33,Fatima,3/31/2004,France,11th Floor,5de02f3e-198b-4232-bb52-07272d182b58,Graphic Designer,3-May,en attente
34,Youssef,4/23/1980,France,Suite 15,23ae0282-3a81-4b2f-8bd9-5e0c95b345ff,Electrical Engineer,4-May,en attente
35,Aisha,12/28/2002,France,12th Floor,eea0018d-8663-42b2-8c04-16c9ba25feca,Analyst Programmer,1-May,Validé
36,Omar,12/19/1991,France,Apt 1639,8bfc00bf-a682-4160-9b15-be6cca63c24a,VP Product Management,2-May,en attente
37,Youssef,11/10/1985,South Africa,PO Box 95677,8bcf5835-1764-4637-b21d-24b390e29c4f,Programmer IV,2-May,Rejeté
